id	name	en	fr	de	es	ru	pt	zh	ja
735	e_loc_story_03_03	Second, in 32% of simulations the ACC Omega recaptured an island that had been previously secured by Epsilon, so don't forget to stay vigilant.	Deuxièmement, dans 32 % des simulations, l'ACC Omega a repris une île qui avait été précédemment sécurisée par Epsilon, alors n'oubliez pas de rester vigilant.	Zweitens hat die ACC Omega in 32 % der Simulationen eine Insel zurückerobert, die zuvor von Epsilon gesichert worden war, also vergessen Sie nicht, wachsam zu bleiben.	En el 32 % de las simulaciones, el ACC Omega reconquista una isla capturada por el Epsilon. Recuerde vigilar las islas.	Во-вторых, в 32% случаев АВЦ Омега захватывала острова которые ранее были захвачены с помощью АВЦ Эпсилон, так что будьте бдительны.	Segundo, em 32% das simulações, o ACC Ômega recapturou uma ilha que foi protegida pela Épsilon anteriormente, então não esqueça de permanecer vigilante.	第二，在32%的模拟中，欧米伽号夺回了之前被伊普西隆号占领的岛屿，所以别忘了要保持警惕。	次に、シミュレーションの32%では、ACCオメガが、以前にエプシロンが確保した島を再度占領するという結果になりました。決して油断してはなりません。
736	e_loc_story_03_04	Third, 23% of the time insufficient focus on repair systems would result in loss of operational capability at inopportune times. While automated balanced repairs are convenient, for maximum efficiency you may need to take a direct hand.	Troisièmement, 23 % du temps, une concentration insuffisante sur les systèmes de réparation entraînerait une perte de capacité opérationnelle à des moments inopportuns. Bien que les réparations équilibrées automatisées soient pratiques, pour une efficacité maximale, vous devrez peut-être prendre la main directement.	Drittens würde eine unzureichende Konzentration auf Reparatursysteme in 23 % der Fälle zu einem Verlust der Betriebsfähigkeit zur Unzeit führen. Automatisierte Reparaturen über die Zeit sind zwar praktisch, aber für maximale Effizienz müssen Sie möglicherweise selbst eingreifen.	En el 23 %, la falta de atención con los sistemas de reparación resulta en la pérdida de capacidad operativa en los momentos más inoportunos. Las reparaciones equilibradas automáticas resultan convenientes, pero el control manual aumenta la eficacia.	В-третьих, в 23% случаев несвоевременный ремонт систем авианосца приводил к неработоспособности в самый неподходящий момент. Хоть ремонт и осуществляется автоматически, активировать и расставлять приоритеты все же потребуется вручную.	Terceiro, em 23% do tempo, o foco insuficiente nos sistemas de reparos resultou na perda de capacidade operacional em momentos inoportunos. Embora seja conveniente contar com reparos automatizados na hora certa, você talvez precise colocar a mão na massa para alcançar eficiência máxima.	第三，在23%的模拟中，对维修的忽视会导致你在不适当的时候丧失战斗力。虽然自动平衡的维修系统很方便，但为了达到最大效率，有时你需要直接手动控制。	3番目に、23%の確率で修復システムが十分に機能せず、折悪く作戦能力が落ちるという結果が出ています。自動化され、安定した修復システムは便利ですが、効果を最大化するためにも直接手動で行う必要があるでしょう。
737	e_loc_story_03_05	Finally, and I don't wish to alarm you, but the overall chance of success they calculated is only 13%. Best of luck, Commander.	Enfin, et je ne veux pas vous alarmer, mais la chance globale de succès qu'ils ont calculée n'est que de 13 %. Bonne chance, commandant.	Schließlich, und ich möchte Sie nicht beunruhigen, beträgt die von ihnen errechnete Gesamterfolgschance nur 13 %. Viel Glück, Commander.	Para terminar, no quiero preocuparle, pero la probabilidad de éxito que se ha calculado es del 13 %. Buena suerte, comandante.	Наконец, хоть и не хотелось бы вас этим тревожить, но общий шанс на успех операции составляет всего 13%.	Por fim, sem querer alarmar você, a chance global de sucesso calculada foi de somente 13%. Boa sorte, Comandante.	最后，我不想打击你，但他们算出来的任务成功率只有13%。祝你好运，指挥官。	最後に、萎縮させたい訳ではありませんが、計算によると、成功する確立はたったの13%です。幸運をお祈りしています、司令官。
738	e_loc_story_04_01	Commander Gage, I'm sure this is unnecessary, but I've been asked to impress upon you the importance of your mission on Telos.	Commandant Gage, je suis sûr que ce n'est pas nécessaire, mais on m'a demandé de vous faire comprendre l'importance de votre mission sur Telos.	Commander Gage, es ist sicher unnötig, aber man hat mich gebeten, Sie auf die Bedeutung Ihrer Mission auf Telos hinzuweisen.	Comandante Gage, no me cabe duda de que resulta innecesario, pero me han pedido que le recalque la importancia de la misión de Telos.	Командир Гейдж, я уверен, что в этом нет необходимости, но меня попросили убедить вас в важности вашей миссии на Телосе.	Comandante Gage, tenho certeza de que seja algo desnecessário, mas pediram para que eu reforçasse a importância de sua missão em Telos.	指挥官盖治，我相信这没必要，但我被要求让你牢记泰洛斯上任务的重要性。	ゲージ司令官、不要なのは承知していますが、私はテロスにおけるあなたの任務の重要さを強調するよう頼まれております。
739	e_loc_story_04_02	I know your past, and I also know you were given a 'bum steer', so I'm confident you won't be taking your duties lightly even though you're no longer a UEC Officer. However there are some details you may not be aware of that may add some urgency to your task.	Je connais votre passé, et je sais aussi que vous avez reçu un « bum steer », donc je suis sûr que vous ne prendrez pas vos fonctions à la légère même si vous n'êtes plus un officier de l'UEC. Cependant, il y a certains détails que vous ignorez peut-être et qui peuvent ajouter une certaine urgence à votre tâche.	Ich kenne Ihre Vergangenheit, und ich weiß auch, dass Sie in die Irre geführt wurden, daher bin ich zuversichtlich, dass Sie Ihre Aufgaben nicht auf die leichte Schulter nehmen werden, auch wenn Sie nicht mehr Beauftragter der UEC sind. Es gibt jedoch einige Details, die Sie vielleicht nicht kennen und die Ihre Aufgabe noch dringlicher machen.	Conozco su pasado y sé que le dieron información falsa, así que tengo confianza absoluta en que se tomará su deber en serio aunque ya no sea oficial de la CTU. Sin embargo, hay algunos detalles que puede que desconozca y que le dan aún más urgencia a su misión.	Я знаю о вашем прошлом, и я также знаю, что вам дали действительно плохой совет, поэтому я уверен, что вы не будете легкомысленно относиться к своим обязанностям, даже уже не будучи офицером ОЗК. Однако, есть некоторые подробности о которых вы можете не знать, но которые могут быть хорошим стимулом в этой операции.	Conheço seu passado, e também sei que já bombardearam você com todo tipo de informação, então estou confiante de que levará seus deveres a sério, mesmo não sendo mais oficial da CTU. Contudo, há alguns detalhes que talvez não sejam do seu conhecimento, mas que reforçam a urgência da sua missão.	我知道你的过去，我也知道你曾收到错误的情报，所以我相信，你即使不再是地球联合同盟的军官，也不会轻视自己的职责。但是，你可能不知道一些细节，它们可能会让你的任务更加紧迫。	でたらめな指示を受けたことに影響された、あなたの過去についても伺っております。だから、あなたはUEC職員でなくなった今であっても、自分の任務を軽く扱ったりしないと確信しています。しかしながら、この任務の緊急性を感じていただくため、補足情報をお伝えします。
740	e_loc_story_04_03	STANZA's guerrilla war surge against us has... well, it's not going well. Since the Third Empire, our combat forces had atrophied more than we had ever admitted. We didn't take the threat from STANZA seriously enough - localized terrorist actions, sure, but a global, coordinated effort to bring down our entire governance structure?	La vague de guérilla de STANZA contre nous a... eh bien, ça ne va pas bien. Depuis le Troisième Empire, nos forces de combat s'étaient atrophiées plus que nous ne l'avions jamais admis. Nous n'avons pas pris la menace de STANZA assez au sérieux - des actions terroristes localisées, bien sûr, mais un effort global et coordonné pour faire tomber toute notre structure de gouvernance ?	Der Guerillakrieg von STANZA gegen uns ist ... nun ja, er läuft nicht gut. Seit dem Dritten Imperium waren unsere Kampftruppen stärker geschwächt, als wir es je zugegeben hatten. Wir haben die Bedrohung durch STANZA nicht ernst genug genommen – lokal begrenzte terroristische Aktionen, sicher, aber eine globale, koordinierte Aktion, um unsere gesamte Regierungsstruktur zu stürzen?	La guerra de guerrillas contra STANZA... no va nada bien. Desde el Tercer Imperio, nuestras fuerzas de combate se han atrofiado más de lo que estamos dispuestos a admitir. No nos tomamos la amenaza de STANZA en serio. Pensábamos que serían atentados terroristas localizados, no un ataque global coordinado para acabar con toda la administración de Gobierno.	Партизанская война СТАНЗА против нас, скажем так... в общем, дела идут не очень хорошо. Со времен Третьей Империи нашы боевые возможности атрафировались больше, чем мы когда-либо допускали. Мы изначально недостаточно серьезно отнеслись к угрозе со стороны СТАНЗА - да, это были террористические акты локального характера, но с глобальной координацией действий с целью разрушить всю нашу структуру управления.	A luta de guerrilha da STANZA... pois bem, estamos sendo massacrados. Desde o Terceiro Império, nossas forças de combate atrofiaram muito mais do que ousamos admitir. Eram ações terroristas locais, ninguém levava isso a sério. Nunca imaginávamos que chegariam a organizar um esforço global e coordenado para derrubar toda a nossa estrutura governamental.	斯坦萨对我们进行游击战争……嗯，事情进展并不顺利。自第三帝国建立以来，我们战斗力衰减的程度比明面上的更大。我们没有足够认真地对待来自斯坦萨的威胁——当然，这是局部的恐怖活动，但有没有可能是旨在摧毁我们整个治理结构的全球联合行动？	我々はスタンザのゲリラ戦闘に対し…早い話、状況は良くありません。第3代帝国以来、我々の戦闘部隊はこれまでにない程力を落としました。スタンザの脅威をまともに受け止めていなかったのです。現地のテロ行為とは認識されていましたが、我々の統治構造全体を転覆させるための世界的に連携した施策までとは。
741	e_loc_story_04_04	Even their first incursion on Telos was only about ransom money. But in the shadows they'd built an incredibly effective network here that has a genuine chance of destabilizing the UEC's peace.	Même leur première incursion sur Telos ne concernait que l'argent des rançons. Mais, dans l'ombre, ils avaient construit ici un réseau incroyablement efficace qui a une réelle chance de déstabiliser la paix de l'UEC.	Selbst bei ihrem ersten Überfall auf Telos ging es nur um Lösegeld. Aber im Verborgenen haben sie hier ein unglaublich effektives Netzwerk aufgebaut, das eine echte Chance hat, den Frieden in der UEC zu stören.	Incluso en su primera incursión en Telos, solo tenían como objetivo cobrar un rescate, pero parece que han creado una red oculta muy efectiva con posibilidades reales de desestabilizar la paz de la CTU.	Даже их первое вторжение на Телос либо связано исключительно с требование выкупа. Но в тени они построити невероятно эффектиную сеть здесь, у которой есть реальный шанс дестабилизировать мир в ОЗК.	A primeira vez que invadiram Telos, eles só queriam dinheiro de resgate. Mas, na surdina, construíram aqui uma rede incrivelmente eficaz, capaz realmente de desestabilizar a paz da CTU.	他们第一次入侵泰洛斯只是为了赎金，但他们暗中在这里建立了一个非常有效的网络，这确实有可能会威胁地球联合同盟的安宁。	彼らが当初テロス星を襲撃してきた際、それは身代金のためでしかありませんでした。しかし彼らは陰で、UECの平和を脅かす危険があるほどの恐ろしく効率的なネットワークを構築していたのです。
742	e_loc_story_04_05	We're at a flashpoint, Commander. We're now fighting hundreds of battles across dozens of nations simultaneously. We're stretched so thin, and our resources are dwindling so fast.	Nous sommes à un point critique, commandant. Nous menons maintenant des centaines de batailles dans des dizaines de nations simultanément. Nous sommes tellement sollicités et nos ressources diminuent si rapidement.	Wir befinden uns an einem Brennpunkt, Commander. Wir kämpfen jetzt in Hunderten von Schlachten in Dutzenden von Nationen gleichzeitig. Wir sind überfordert, und unsere Ressourcen schwinden schnell.	Estamos en un momento crítico, comandante. Tenemos cientos de batallas en decenas de naciones al mismo tiempo. La presión es máxima y los recursos se agotan muy rápido.	Мы находимся в горячей точке, командир. Сейчас мы одновременно ведем сотни сражений среди десятков разных наций. Мы очень сильно растянуты и наши ресурсы стремительно истощаются.	Estamos em um ponto crítico, Comandante. No momento, travamos centenas de batalhas por dezenas de nações simultaneamente. Estamos por um fio, e nossos recursos estão se esvaindo muito depressa.	危机一触即发，指挥官。我们正同时在数十个国家进行数百场战斗。我们捉襟见肘，资源也迅速减少。	司令官、これは一触即発の状況です。今では多くの国々で、何百もの戦闘を同時に行わなければならなくなっています。各所での度重なる戦闘から、資源は急速に激減しています。
743	e_loc_story_04_06	There's a time delay for shipments from Telos, but when the interruption from this latest incursion hits us, we're going to have some dark days. And if STANZA does succeed there and cuts off our resources permanently...	Il y a un délai pour les expéditions de Telos, mais lorsque l'interruption de cette dernière incursion nous frappera, nous allons vivre des jours sombres. Et si STANZA y réussit et coupe définitivement nos ressources...	Die Lieferungen aus Telos verzögern sich zwar, aber wenn die Unterbrechung durch den jüngsten Einfall uns trifft, werden wir dunkle Tage erleben. Und wenn STANZA dort Erfolg hat und unsere Ressourcen dauerhaft abschneidet ...	Los envíos de Telos llegan siempre con cierto retraso, pero, cuando la interrupción de esta incursión nos afecte, nos las veremos muy negras. Si STANZA tiene éxito y logra cortar nuestros suministros de forma permanente...	Поставки с Телоса уже идут с задержкой, но по настоящему темные дни ждут нас после прерывания поставок из-за текущего вторжения. И если СТАНЗА приуспеет в этом а навсегда лешит нас ресурсов...	Há um atraso nas remessas vindas de Telos, mas quando a interrupção causada pela incursão mais recente deles nos atingir, dias obscuros virão. E se a STANZA tiver sucesso por lá e cortar nossos recursos permanentemente...	从泰洛斯出发的货物会有一些延迟，但当他们最近的入侵对我们造成影响时，苦日子就要来了。而且，如果斯坦萨真的成功并永远切断了我们的资源……	テロスからの貨物が到着するのには時間を要しますが、この襲撃を阻止しなければ状況は非常に厳しいものになるでしょう。そして、スタンザが成功し、我々の資源を永久に遮断するようなことがあれば…
744	e_loc_story_04_07	I don't want to be alarmist, Commander, but all could be lost... No pressure.	Je ne veux pas être alarmiste, Commandant, mais tout pourrait être perdu... Pas de pression.	Ich will keine Panikmache betreiben, Commander, aber es könnte alles verloren sein ... Aber ich will Ihnen keinen Druck machen.	No quiero ser alarmista, comandante, pero podríamos perderlo todo... Sin ánimo de presionar.	Не хочу казаться паникером, командир, но все может быть потеряно... Я не давлю на вас.	Não quero ser alarmista, Comandante, mas tudo estará perdido. Sem pressão.	这不是危言耸听，指挥官，但我们可能会失去一切……压力就是这么大。	暗い話ばかりしたくはないのですが、司令官、そうなれば何もかも失われます…
745	e_loc_story_05_01	Commander, I am relaying a briefing on the history of STANZA that may assist you to anticipate their tactics. I understand you are already familiar with the enemy, so I will limit this to the salient highlights.	Commandant, je vous transmets un briefing sur l'histoire de STANZA qui pourra vous aider à anticiper leurs tactiques. Je sais que vous connaissez déjà l'ennemi, je vais donc me limiter aux points essentiels.	Commander, ich gebe Ihnen ein Briefing über die Geschichte der STANZA, das Ihnen helfen kann, ihre Taktik vorauszusehen. Ich gehe davon aus, dass Sie den Feind bereits kennen, daher werde ich mich auf die wichtigsten Punkte beschränken.	Comandante, le envío un informe sobre la historia de STANZA que podría serle de ayuda para anticipar sus tácticas. Entiendo que ya se ha familiarizado con los enemigos, así que lo limitaré a lo más destacado.	Командир, я передаю брифинг по истории СТАНЗА, что может помочь вам предвидеть их тактику. Насколько я понимаю, вы уже знакомы с врагом, поэтому остановлюсь только на основных моментах.	Comandante, vou retransmitir um conteúdo que temos sobre a história da STANZA que pode lhe ser útil para antecipar as táticas deles. Sei que já conhece o inimigo, então me limitarei aos destaques mais importantes.	指挥官，我正在发送一份关于斯坦萨历史的简报，这可能有助于你预测他们的战术。我知道你对敌人已经很熟悉了，所以只会说重点。	司令官、スタンザが使ってくるであろう戦術について前もって知っていただくために、スタンザの歴史をお伝えします。敵の事は既によくご存じかと思いますので、要点のみに絞ります。
746	e_loc_story_05_02	In the aftermath of the bloody battles that gave birth to what is colloquially known as the Third Empire on Earth, the defeated Asian Pacific Alliance was dissolvedand its territories re-joined the United Earth Coalition.	Au lendemain des batailles sanglantes qui ont donné naissance à ce que l'on appelle familièrement le Troisième Empire sur Terre, l'Alliance Asie-Pacifique vaincue a été dissoute et ses territoires ont rejoint la Coalition de la Terre unie.	Nach den blutigen Kämpfen, aus denen das umgangssprachlich als Drittes Imperium auf der Erde bezeichnete Gebilde hervorging, wurde die besiegte Asiatisch-Pazifische Allianz aufgelöst und ihre Territorien traten wieder der United Earth Coalition bei.	Tras las sangrientas batallas que culminaron en la fundación de lo que se conoce coloquialmente como el Tercer Imperio de la Tierra, la Alianza Asia Pacífico se disolvió y sus territorios se unieron a la CTU.	После кровопролитных сражений, породивших то, что в просторечии известно как Третья Империя на Земле, побежденный Азиатско-Тихоокеанский Альянс был распущен, а его территории вновь присоединились к Объединенной Земной Коалиции.	Após as batalhas sangrentas que deram vida ao que é conhecido como o Terceiro Império na Terra, a Aliança Ásia-Pacífico (AAP), derrotada, foi dissolvida. Os territórios resultantes voltaram a se juntar à Coalizão Terra Unida.	地球上俗称的第三帝国在血战之后成立，而战败的亚太联盟解体了，其领土重新加入了地球联合同盟。	血なまぐさい一連の戦闘の後、いわゆる第3代帝国が地球上に誕生しました。その結果、敗北したアジア太平洋連合は解体され、その領地は統一地球連合に組み込まれました。
747	e_loc_story_05_03	A small group of holdouts, however, secretly formed the STANZA Organization as an underground terrorist network intended to destabilise the UEC's peace efforts. Interestingly, the name STANZA was a 'floating acronym' which local chapters created their own titles for instead of sharing one.	Un petit groupe de récalcitrants, cependant, a secrètement formé l'Organisation STANZA en tant que réseau terroriste clandestin destiné à déstabiliser les efforts de paix de l'UEC. Fait intéressant, le nom STANZA était un « acronyme flottant » pour lequel les sections locales ont créé leurs propres titres au lieu d'en partager un.	Eine kleine Gruppe von Rebellen gründete jedoch im Geheimen die Organisation STANZA, ein terroristisches Netzwerk im Untergrund, das die Friedensbemühungen der UEC destabilisieren sollte. Interessanterweise war der Name STANZA ein „dynamisches Kürzel“, für das die lokalen Sektionen ihre eigenen Namen schufen, anstatt einen gemeinsamen zu verwenden.	Sin embargo, se formó una pequeña resistencia secreta, la organización STANZA, un grupo terrorista clandestino que pretendía desestabilizar la búsqueda de la paz de la CTU. Dato curioso: «STANZA» es un acrónimo libre; es decir, cada sección local le daba su propio significado en lugar de compartir todas el mismo.	Однако, небольшая группа несогласхны в тайне сформировала организацию СТАНЗА в качестве подпольной террорестической сети, призванной дестабилизировать мирные усилия ОЗК. Само название СТАНЗА было аббревиатурой чьи локальные группы создали свои собственные названия вместо того, чтобы делиться ими.	Mas um pequeno grupo de resistência formou em segredo a Organização STANZA, uma rede terrorista clandestina cujo objetivo era desestabilizar os esforços de paz da CTU. O interessante é que a sigla STANZA é um "acrônimo flutuante", pois as divisões locais da organização atribuíam significados próprios às letras em vez de compartilharem um só.	但一小群顽固分子秘密成立了斯坦萨组织，作为一个地下恐怖组织网络，其目的是破坏地球联合同盟的安宁。有趣的是，其名称“斯坦萨”是一个不固定的首字母缩写，他们在各地的分部会使用自己的名称，而不是共用一个。	しかし、少数の抵抗グループが地下組織なるテロリスト・ネットワークとして、秘密裏にスタンザ機関を結成し、UECの平和を脅かそうとしたのです。興味深いことに、スタンザ（STANZA）という名前は頭字語ですが、それぞれの頭文字は各グループにとって異なる意味を表しているようです。
748	e_loc_story_05_04	Over time, STANZA's ambitions grewand its violent identity metastasized. It became increasingly modelled around hyper-individualism, an anti-globalist movement which resembled the original APA's ethos.	Au fil du temps, les ambitions de STANZA grandissent et son identité violente se métastase. Il est devenu de plus en plus modelé sur l'hyper-individualisme, un mouvement anti-mondialiste qui ressemblait à l'éthique de l'APA d'origine.	Mit der Zeit wurden die Ambitionen von STANZA immer ehrgeiziger und die gewalttätige Identität der Bewegung ging immer mehr in Richtung Hyper-Individualismus, eine antiglobalistische Bewegung, die dem Ethos der ursprünglichen APA ähnelte.	Con el tiempo, la ambición de STANZA creció y aceptaron su naturaleza violenta. Comenzó a desarrollarse a partir del hiperindividualismo y un antiglobalismo similar a la filosofía de la vieja AAP.	Со временем амбиции СТАНЗА росли, а ее агрессивность метастазировала. Эта организация все больше строилась на основе гипер-индивидуализма, антиглобалистского движения, что напоминало идеал былой АТА.	Ao longo do tempo, as ambições da STANZA cresceram, e a identidade violenta se espalhou. Ela foi cada vem mais se modelando em torno do hiperindividualismo, um movimento antiglobalização que rememorava o etos original da AAP.	随着时间的推移，斯坦萨的野心越来越大，其暴力特征也发生了转移。它越来越接近超个人主义，这是一种类似于最初亚太联盟精神的反全球化运动。	時を経てスタンザの野望は大きくなり、暴力的な性質が広がりました。その理念は超個人主義へとますます傾斜していき、元々APAが掲げていた精神に通じるアンチグローバリズム運動となりました。
749	e_loc_story_05_05	This led to decentralized leadership cells taking advantage of local community knowledge and operatives familiar with the locales. The disastrous attempted ransom of the Telos colony in 2166, however, caused some internal friction around a lack of coordinated operations.	Cela a conduit à des cellules de direction décentralisées tirant parti des connaissances de la communauté locale et des agents familiers avec les lieux. La désastreuse tentative de rançon de la colonie de Telos en 2166, cependant, a provoqué des frictions internes autour d'un manque d'opérations coordonnées.	Dies führte zu dezentralisierten Führungszellen, die sich das Wissen der lokalen Gemeinschaften und mit den Örtlichkeiten vertraute Leuten zunutze machten. Der katastrophale Erpressungsversuch der Kolonie Telos im Jahr 2166 führte jedoch zu einigen internen Reibereien aufgrund des Mangels an koordinierten Operationen.	Esto llevó a la descentralización del liderazgo con el objetivo de aprovechar el conocimiento de las comunidades locales y los operativos familiares con las ubicaciones de las misiones. Sin embargo, el desastre del intento de secuestro de la colonia de Telos, en 2166, provocó fricciones internas debido a la falta de coordinación.	Это привело к появлению децентрализованных лидерских ячеек, использующих знания местного сообщества и контроль ключевых фигур, знакомых с местными. Попытка выкупа колонии Телоса в 2166 году вызвала некоторые внутренние трения из-за отсутсвия скоординированных действий.	Isso fez com que as células de liderança descentralizadas se aproveitassem do conhecimento da comunidade local e das práticas que lhes eram familiares. Contudo, a desastrosa tentativa de sequestro da colônia de Telo, em 2166, causou certo abalo interno relacionado à falta de operações coordenadas.	所以他们分散的领导单元可以利用对当地社区的了解和熟悉当地的特工人员。2166年，他们尝试以泰洛斯勒索赎金，因缺乏协同导致了内部摩擦。	これに対する策として、リーダーシップは分散化され、地元のコミュニティの知見や地の利がある地元の工作員が利用されました。しかし、2166年に起こったテロスコロニーの酷い身代金要求事件では連携した対応ができなかったために、内部摩擦を生みました。
750	e_loc_story_05_06	This led to a period of relative public hibernation. However, behind the scenes STANZA reorganized, developing a structure that both allowed their individualism to bloom but also forged effective coordination between cells.	Cela a conduit à une période d'hibernation publique relative. Cependant, en coulisses, STANZA s'est réorganisé, développant une structure qui à la fois a permis à leur individualisme de s'épanouir mais a également forgé une coordination efficace entre les cellules.	Hinter den Kulissen organisierte sich STANZA jedoch neu und entwickelte eine Struktur, die es der Organisation ermöglichte, ihren Individualismus zu entfalten, aber auch eine effektive Koordination zwischen den Zellen zu gewährleisten.	Esto llevó a un periodo de relativa desaparición pública, pero STANZA se reorganizó de forma clandestina y desarrolló una estructura que permitía hacer crecer el individualismo al mismo tiempo que forjaba una coordinación eficaz entre las diversas seccciones.	Это, в свою очередь, привело к периоду спокойствия среди общественности. Но за кулисами СТАНЗА реорганизовывалас, разработав структуру, которая позволила расцветать их индивидуализму, а так же решила вопросы координации между ячейками.	Tudo isso levou a um período de relativa hibernação pública. Entretanto, a STANZA se reorganizou às escondidas, desenvolvendo uma estrutura que permitia o florescimento do individualismo ao mesmo tempo que forjava uma coordenação eficaz entre as células.	这使他们潜伏了一段时间。但斯坦萨在幕后进行了重组，形成了一种既能发挥个人主义优势，又能使领导单元有效协同的结构。	これにより、国家は機能しなくなってしまいました。しかし、その一方でスタンザは裏で再結成され、彼らは個人主義を貫きつつも、下部組織内で効率的な連携を取ることができる仕組みを構築していったのです。
751	e_loc_story_05_07	Instead of a hive with a single queenand many drones, the new STANZA is a hive of many queens all working together.	Au lieu d'une ruche avec une seule reine et de nombreux faux-bourdons, la nouvelle STANZA est une ruche de nombreuses reines travaillant toutes ensemble.	Anstelle eines Bienenstocks mit einer einzigen Königin und vielen Drohnen ist die neue STANZA ein Bienenstock mit vielen Königinnen, die alle zusammenarbeiten.	En lugar de una colmena con una reina y muchos drones, la nueva STANZA cuenta con muchas reinas que trabajan juntas.	Вместо улья с одной королевой и множеством рабочих пчел, новая СТАНЗА стала скорее ульем с несколькими королевами работающими вместе.	Em vez de uma colmeia com uma única rainha e muitos zangões, a nova STANZA tornou-se uma colmeia de muitas rainhas, todas trabalhando juntas.	新的斯坦萨不是一只蜂后和许多雄蜂组成的蜂巢，而是许多蜂后共同工作的蜂巢。	新たなスタンザは一人の女王と多くの家臣という構成ではなく、多くの女王が手を組むという構成になったのです。
752	e_loc_story_06_01	Commander, I have recovered a section of the most recent geological survey on Telos, which may be relevant to your mission.	Commandant, j'ai récupéré une section de l'étude géologique la plus récente sur Telos, qui peut être pertinente pour votre mission.	Commander, ich habe einen Teil der letzten geologischen Untersuchung auf Telos erhalten können, der für Ihre Mission relevant sein könnte.	Comandante, he recuperado una sección del estudio geológico más reciente de Telos. Podría ser importante para su misión.	Командир, я обнаружел часть последней геологической разведки на Телосе, которая может иметь отношение к вашей миссии.	Comandante, eu recuperei uma seção da pesquisa geológica mais recente em Telos que pode ser relevante para sua missão.	指挥官，我恢复了泰洛斯近期地质调查报告的一部分，这可能与你的任务有关。	司令官、テロス星に関する最新の地質調査の結果を回収しましたので、お役に立てば幸いです。
753	e_loc_story_06_02	Despite Telos first being discovered by astronomer Dr Emil Gage last century, it was quickly ruled out as a viable candidate for the original Gaea Mission due to the high sulfuric content detected in its oceans.	Bien que Telos ait été découvert pour la première fois par l'astronome Dr Emil Gage au siècle dernier, il a rapidement été écarté comme un candidat viable pour la mission Gaea originale en raison de la forte teneur en soufre détectée dans ses océans.	Obwohl Telos bereits im letzten Jahrhundert von dem Astronomen Dr. Emil Gage entdeckt wurde, wurde der Planet aufgrund des hohen Schwefelgehalts in seinen Ozeanen schnell als Kandidat für die ursprüngliche Gaea-Mission ausgeschlossen.	A pesar de que Telos fue descubierto por el doctor en astronomía Emil Gage el siglo pasado, se descartó como candidato para la misión Gaea original debido al elevado nivel de azufre detectado en sus océanos.	Несмотря на то, что Телос впервые был обнаружен астрономом доктором Эмилем Гейджем в прошлом веке, он был быстро исключен как жизнеспособный кандидат для первоначальной Миссии Гаэа из-за высокого содержания серы, обнаруженного в его океанах.	Apesar de Telos ter sido descoberta pelo astrônomo Dr. Emil Gage no século passado, o planeta foi rapidamente descartado como candidato válido para a Missão Gaea original devido ao alto conteúdo sulfúrico detectado nos oceanos.	尽管天文学家埃米尔·盖治博士在上个世纪就首次发现了泰洛斯，但由于其海洋被检测出了很高的硫含量，它很快就被排除在最初盖亚行动的可行目标之外。	テロス星は天文学者のエミル・ゲージ博士によって前世紀に発見されましたが、その海水に大量の硫黄が含まれていることから、初期のガエア・ミッションの有力候補からは直ぐに外されました。
754	e_loc_story_06_03	The first manned surveys here discovered the reason why, being a vast amount of prior volcanic activity, but we're only now finding evidence of what form that took, and what it implies for the future.	Les premiers relevés établis ici ont dévoilé que cela est dû à une grande quantité d'activité volcanique antérieure, mais nous trouvons seulement maintenant des preuves de la forme que cela a pris et de ce que cela implique pour l'avenir.	Bei den ersten bemannten Erkundungen wurde der Grund dafür entdeckt, nämlich eine enorme vulkanische Aktivität in alter Zeit, aber wir haben erst jetzt Hinweise dafür gefunden, in welcher Form dies geschah und was dies für die Zukunft bedeutet.	Las primeras misiones tripuladas descubrieron la causa: una gran actividad volcánica previa de la que acabamos de comenzar a descubrir el origen y sus implicaciones para el futuro.	Первые пилотируемые исследования обнаружили причину, которая заключалась в наличии огромного долгой вулканической активности ранее, но мы только сейчас находим докозательства того, какую форму она приняла и как это может повлиять в будущем.	As primeiras pesquisas realizadas aqui descobriram o motivo: uma grande quantidade de antigas atividades vulcânicas. Porém, só agora estamos encontrando evidências de como isso tudo aconteceu e as implicações disso para o futuro.	第一次有人调查找到了原因，这是因为这里之前有大量的火山活动。但我们现在才找到证据，证明火山活动的形式以及它对未来的影响。	初めての有人調査で、以前テロス星では火山活動が盛んであったことがその理由と判明しましたが、その歴史の形跡を裏付ける証拠、そしてそれが未来にどう影響するかは現在ようやく分かってきたところです。
